Demand,Normalized_net,Temperature
640.8833809,0.464909943,0
659.8276445,0.4786525,1
655.2649607,0.475342636,2
681.1221444,0.494099967,2
713.2996712,0.517442204,2
694.4586179,0.503774518,2
698.9629005,0.507042017,2
702.8014384,0.509826571,2
703.870201,0.510601873,1
715.9,0.519328536,0
766,0.555672103,0
785.7,0.569962887,0
776,0.562926308,0
752.8,0.546096553,0
727.6,0.527815956,0
691.1,0.501338108,0
647.1,0.469419606,0
604.2,0.438299066,0
585.1,0.424443535,0
568.7,0.412546639,0
555.1,0.40268092,0
543.7,0.394411126,0
558.2,0.404929723,0
580.2,0.420888974,-1
582.3079894,0.422418153,0
621.45658,0.450817343,0
630.9155902,0.457679103,0
625.740469,0.453924964,1
643.8441435,0.467057741,2
559.2061039,0.405659572,2
634.3840056,0.460195163,3
600.7103365,0.435767593,2
641.4141108,0.465294945,1
721.8609187,0.523652709,0
776.9,0.563579187,0
794.4,0.576274045,-1
781.3,0.566771037,-2
768.2,0.557268028,-3
735.3,0.533401694,-3
687.2,0.498508968,-3
637.1,0.462165401,-3
606.9,0.440257702,-3
585.4,0.424661161,-3
575.3,0.417334414,-3
569.6,0.413199517,-3
579,0.42001847,-2
614.2,0.445553271,-2
677.3,0.491327305,-1
730.5859478,0.529982024,0
736.9147062,0.534573035,0
720.1632977,0.52242122,1
746.7597588,0.541714838,2
710.1864095,0.51518378,2
746.727565,0.541691484,3
745.8002077,0.54101876,3
745.0089306,0.540444751,3
742.5008909,0.538625368,3
802.6216237,0.58223818,2
871.4,0.632131424,2
883.1,0.640618844,1
866.4,0.628504321,0
830.5,0.602461725,0
788.1,0.571703896,0
719.6,0.522012592,0
660.3,0.478995156,0
618.9,0.448962748,0
592.7,0.429956731,1
577.7,0.419075423,1
573.6,0.416101199,1
578.9,0.419945928,1
616.4,0.447149196,0
691.6,0.501700818,0
741.0926546,0.537603804,2
709.527669,0.514705917,3
681.2686334,0.494206233,4
663.1122451,0.481035217,5
646.7716896,0.469181443,6
632.7482807,0.459008574,6
623.0723592,0.451989463,7
633.7995049,0.459771154,6
671.3483258,0.487009838,5
726.4954476,0.527014691,3
819.3,0.594337016,1
850.4,0.616897593,0
849.8,0.616462341,0
822.9,0.59694853,0
783.2,0.568149336,0
717.3,0.520344125,-1
653.7,0.474207381,-1
607.3,0.44054787,-2
582.9,0.42284761,-2
574,0.416391367,-2
572.8,0.415520863,-2
578.9,0.419945928,-2
616.4,0.447149196,-2
697.9,0.506270967,-1
743.7857684,0.539557444,0
