date,netload,tmpf,month,hour,dayofweek,kw_2,kw_7,poten_2,poten_7
2015-02-05 13:00:00,67.134228891,42.08,2,13,3,62.785999168,5.107863333,61.35719575471428,0.0
2015-02-05 14:00:00,62.802793056,42.98,2,14,3,68.203179445,-5.708839165,72.84458964414286,0.0
2015-02-05 15:00:00,67.779275001,42.98,2,15,3,68.053698331,1.447328054,68.15817293571429,0.0
2015-02-05 16:00:00,71.207574723,42.98,2,16,3,60.500314444,19.010128333,43.44664904728571,0.0
2015-02-05 17:00:00,66.234787778,44.06,2,17,3,70.879181388,32.433442499,27.990799205142864,0.0
2015-02-05 18:00:00,68.420446667,42.98,2,18,3,69.679143613,52.774322222,6.799127342285708,0.0
2015-02-05 19:00:00,79.583671111,42.98,2,19,3,79.252425555,72.611788613,5.750512261428582,0.0
2015-02-05 20:00:00,87.005860553,42.98,2,20,3,97.100292224,87.883818055,14.241033374285706,2.3419431101000043
2015-02-05 21:00:00,96.59798361,42.08,2,21,3,100.119469722,90.995123611,19.01085309442857,3.757581388600002
2015-02-05 22:00:00,93.797376666,42.08,2,22,3,97.552116668,90.19941667,13.8559864702857,7.53161991970002
2015-02-05 23:00:00,86.46761028,41.0,2,23,3,85.966954999,85.008650276,3.852003729142865,5.392993747700004
2015-02-06 00:00:00,92.305312224,39.92,2,0,4,84.437401945,87.696471667,5.671716707571434,5.728359890000007
2015-02-06 01:00:00,93.236606388,39.92,2,1,4,84.467978335,91.651909997,7.808285280142854,11.70864108100001
2015-02-06 02:00:00,86.617691946,39.92,2,2,4,83.766152776,90.203667778,9.187998253142853,8.038755000099997
2015-02-06 03:00:00,81.794171388,39.92,2,3,4,75.588633058,71.011942224,8.137765438571435,0.0
2015-02-06 04:00:00,78.165857777,39.92,2,4,4,73.680545836,75.47203361,7.494960200857136,4.140341970800009
2015-02-06 05:00:00,81.65067611,39.02,2,5,4,76.149281941,76.04734889,9.037332338,6.5995895004000005
2015-02-06 06:00:00,88.400461666,39.02,2,6,4,91.226835002,92.231886392,13.171866073857132,9.024226113200015
2015-02-06 07:00:00,109.600846948,37.04,2,7,4,98.697296389,104.424512221,7.467073095714298,10.988529358799994
2015-02-06 08:00:00,122.22385361,39.02,2,8,4,115.218801387,105.220211388,19.35610849100001,4.62309563769999
2015-02-06 09:00:00,104.830073611,41.0,2,9,4,102.68710861,97.638369722,23.74576019828571,13.77867513869998
2015-02-06 10:00:00,95.184200554,42.98,2,10,4,103.267479999,85.211292223,39.74608420614286,11.618993806700004
2015-02-06 11:00:00,73.811615555,46.04,2,11,4,82.562301946,62.60489139,39.15486845342856,13.520778668600007
2015-02-06 12:00:00,63.592979167,50.0,2,12,4,65.585528888,34.510450832,42.62686436371428,5.782556164999996
2015-02-06 13:00:00,44.452049166,53.96,2,13,4,52.532705001,9.544099167,51.10390158771428,0.0
2015-02-06 14:00:00,48.185327224,55.94,2,14,4,54.583905829,4.24657028,59.225316028142856,0.0
2015-02-06 15:00:00,54.00159611,57.02,2,15,4,62.489057224,13.557887221,62.59353182871428,4.741028166
2015-02-06 16:00:00,61.817146109,57.02,2,16,4,73.187421112,20.14418611,56.13375571528571,0.0
2015-02-06 17:00:00,69.476451391,57.02,2,17,4,68.457298889,36.579610834,25.568916706142858,0.0
2015-02-06 18:00:00,67.018310558,53.96,2,18,4,79.639136944,44.714803054,16.759120673285715,0.0
2015-02-06 19:00:00,80.7196575,50.0,2,19,4,89.356694165,62.799943608,15.854780871428574,0.0
2015-02-06 20:00:00,91.901731941,46.94,2,20,4,109.559036671,76.717588611,26.699777821285707,0.0
2015-02-06 21:00:00,105.260360556,46.04,2,21,4,101.045778057,81.970057781,19.93716142942857,0.0
2015-02-06 22:00:00,101.470448888,42.98,2,22,4,98.153045833,78.188395834,14.456915635285696,0.0
2015-02-06 23:00:00,81.558754722,42.08,2,23,4,92.570954445,78.735777226,10.456003175142868,0.0
2015-02-07 00:00:00,74.797803611,42.08,2,0,5,101.817855278,79.414487221,23.052170040571426,0.0
2015-02-07 01:00:00,72.848169167,39.92,2,1,5,95.854028886,72.787191387,19.19433583114285,0.0
2015-02-07 02:00:00,71.882548332,39.92,2,2,5,81.951902222,73.929947778,7.373747699142854,0.0
2015-02-07 03:00:00,72.546770279,39.02,2,3,5,73.134010276,73.262168336,5.683142656571434,0.0
2015-02-07 04:00:00,68.134777221,37.94,2,4,5,77.06168528,64.734921667,10.876099644857147,0.0
2015-02-07 05:00:00,69.070434718,39.92,2,5,5,78.129488051,63.094213334,11.017538447999996,0.0
2015-02-07 06:00:00,81.168053612,39.02,2,6,5,90.699535555,79.117282502,12.644566626857127,0.0
2015-02-07 07:00:00,92.547633333,39.02,2,7,5,110.242195003,86.857030001,19.011971709714302,0.0
2015-02-07 08:00:00,94.979039999,44.06,2,8,5,124.494272778,81.53314111,28.63157988200001,0.0
2015-02-07 09:00:00,80.516296942,50.0,2,9,5,116.740951947,75.844236667,37.79960353528571,0.0
2015-02-07 10:00:00,70.666523052,53.96,2,10,5,104.425627778,74.098053888,40.904231985142864,0.5057554716999988
2015-02-07 11:00:00,54.643537501,57.02,2,11,5,89.250470001,67.644642499,45.84303650842856,18.56052977760001
2015-02-07 12:00:00,45.847445279,60.98,2,12,5,72.390403892,59.4159175,49.43173936771427,30.688022833
2015-02-07 13:00:00,25.525876389,62.96,2,13,5,67.134228891,43.402115832,65.70542547771429,30.4801017483
2015-02-07 14:00:00,10.0647725,64.94,2,14,5,62.802793056,39.449380277,67.44420325514285,32.2018252763
2015-02-07 15:00:00,8.052697221,66.92,2,15,5,67.779275001,36.148503332,67.88374960571429,27.331644276999995
2015-02-07 16:00:00,31.760212779,68.0,2,16,5,71.207574723,46.275320556,54.15390932628571,18.1343307505
2015-02-07 17:00:00,46.20574722,68.0,2,17,5,66.234787778,57.295002776,23.34640559514285,7.994461386299996
2015-02-07 18:00:00,67.847605834,66.02,2,18,5,68.420446667,66.709730277,5.540430396285707,3.408105416600016
2015-02-07 19:00:00,78.348237779,57.02,2,19,5,79.583671111,69.848299722,6.081757817428581,0.0
2015-02-07 20:00:00,80.864616392,57.92,2,20,5,87.005860553,91.793950001,4.146601703285711,6.252075056099997
2015-02-07 21:00:00,69.803139725,57.92,2,21,5,96.59798361,84.830985552,15.489366982428564,0.0
2015-02-07 22:00:00,87.5636875,57.92,2,22,5,93.797376666,76.709638057,10.101246468285709,0.0
2015-02-07 23:00:00,84.256510001,57.02,2,23,5,86.46761028,74.678099444,4.352659010142872,0.0
2015-02-08 00:00:00,88.433033333,55.94,2,0,6,92.305312224,76.730688055,13.539626986571434,0.0
2015-02-08 01:00:00,77.205671388,57.02,2,1,6,93.236606388,74.817233887,16.576913333142855,0.0
2015-02-08 02:00:00,81.51260139,57.02,2,2,6,86.617691946,79.150895831,12.039537423142846,4.572741308142852
2015-02-08 03:00:00,70.645948611,57.02,2,3,6,81.794171388,81.780916109,14.343303768571433,14.33004848957144
2015-02-08 04:00:00,65.804355555,57.92,2,4,6,78.165857777,79.451045,11.980272141857142,13.265459364857136
2015-02-08 05:00:00,63.440215834,59.0,2,5,6,81.65067611,70.295900835,14.538726507000009,3.1839512319999983
2015-02-08 06:00:00,73.364921946,59.0,2,6,6,88.400461666,81.169548334,10.345492737857128,3.1145794058571283
2015-02-08 07:00:00,84.825362501,57.92,2,7,6,109.600846948,82.119645833,18.370623654714294,0.0
2015-02-08 08:00:00,81.323469167,57.02,2,8,6,122.22385361,81.792653613,26.36116071400002,0.0
2015-02-08 09:00:00,68.906156665,57.92,2,9,6,104.830073611,80.248159167,25.88872519928572,1.30681075528571
2015-02-08 10:00:00,71.404593054,60.08,2,10,6,95.184200554,57.166995837,31.66280476114286,0.0
2015-02-08 11:00:00,60.764798334,60.98,2,11,6,73.811615555,46.444024443,30.40418206242856,3.036590950428561
2015-02-08 12:00:00,26.346963888,62.96,2,12,6,63.592979167,23.122384443,40.63431464271429,0.1637199187142819
2015-02-08 13:00:00,-10.485667779,68.0,2,13,6,44.452049166,7.855521388,43.02324575271429,6.426717974714286
2015-02-08 14:00:00,-6.723288611,69.98,2,14,6,48.185327224,8.641361666,52.82673742314285,13.282771865142855
2015-02-08 15:00:00,10.170699164,73.04,2,15,6,54.00159611,21.476894167,54.106070714714285,21.581368771714285
2015-02-08 16:00:00,33.947697224,73.94,2,16,6,61.817146109,38.95225333,44.76348071228571,21.89858793328571
2015-02-08 17:00:00,62.92568639,73.94,2,17,6,69.476451391,50.27059861,26.58806920814285,7.382216427142858
2015-02-08 18:00:00,70.107857778,71.96,2,18,6,67.018310558,70.352202502,4.13829428728571,7.472186231285711
2015-02-08 19:00:00,72.491114999,64.04,2,19,6,80.7196575,84.807985277,7.217744206428577,11.30607198342858
2015-02-08 20:00:00,92.993543891,57.02,2,20,6,91.901731941,99.044441944,9.0424730912857,16.185183094285705
2015-02-08 21:00:00,85.196514999,55.04,2,21,6,105.260360556,97.832288056,24.15174392842856,16.72367142842856
2015-02-08 22:00:00,84.20584694,53.96,2,22,6,101.470448888,91.823910003,17.77431869028571,8.127779805285698
2015-02-08 23:00:00,71.373824722,55.94,2,23,6,81.558754722,87.558256944,0.0,5.443305674142863
2015-02-09 00:00:00,72.208250833,51.98,2,0,0,74.797803611,92.218538335,0.0,13.452853097571436
2015-02-09 01:00:00,67.368910555,53.06,2,1,0,72.848169167,86.800984445,0.0,10.141291390142854
2015-02-09 02:00:00,68.187409167,48.02,2,2,0,71.882548332,87.417425278,0.0,12.839270755142849
2015-02-09 03:00:00,65.245877778,53.96,2,3,0,72.546770279,80.355461666,5.095902659571436,12.904594046571432
2015-02-09 04:00:00,66.662039446,48.02,2,4,0,68.134777221,74.071059166,1.949191585857136,7.885473530857141
